plant num,time,Obs,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area
1,1,Man,-0.16630549,0.001710565,537.6237598,0.040777803,2.284319651,30.96784019,6
2,1,Ptuber,6.963697106,0.070328097,228.1529218,1.52582979,2.112937061,30.65036583,3
3,1,Ptuber,7.456526518,0.090482447,254.3850924,1.934625918,2.0935568,30.66227531,3.3
4,1,Byucc,4.467201934,0.063389607,273.5785689,1.30731302,2.018638538,30.57926941,6
5,1,Ptuber,3.097545784,0.029642463,220.4369215,0.660486601,2.152744913,30.74632645,4.8
6,1,Man,0.045880464,0.000955274,309.6499404,0.02254572,2.26173885,30.88064194,6
7,1,Byucc,7.227748282,0.104847342,275.2325276,2.063763644,1.953508282,30.61962509,6
8,1,Ptuber,1.990750185,0.024349156,256.5760978,0.543253905,2.151860219,30.83900642,4.8
1,2,Man,-0.095893079,0.003402818,428.4558074,0.084844737,2.390125619,31.18243408,6
2,2,Ptuber,6.852732941,0.070776839,231.1016405,1.614459977,2.220765699,30.91921043,3
3,2,Ptuber,7.294693086,0.175861803,318.8964622,3.58876958,2.038094442,30.69533157,3.3
4,2,Byucc,2.613260771,0.029153662,243.5737312,0.652030692,2.16344718,30.73982048,6
5,2,Ptuber,6.36802582,0.065199472,229.5267765,1.433867784,2.145783867,30.81595039,4.8
6,2,Man,2.400835739,0.03454525,275.1188653,0.790574583,2.217709201,30.85601234,6
7,2,Byucc,7.631995807,0.103019946,266.2812026,2.11792001,2.038658277,30.69413567,6
8,2,Ptuber,4.741963345,0.044783993,217.4241065,1.017188642,2.203412359,30.81937218,4.8
1,3,Man,,,,,,,
2,3,Ptuber,,,,,,,
3,3,Ptuber,,,,,,,
4,3,Byucc,,,,,,,
5,3,Ptuber,,,,,,,
6,3,Man,,,,,,,
7,3,Byucc,,,,,,,
8,3,Ptuber,,,,,,,
1,4,Man,,,,,,,
2,4,Ptuber,,,,,,,
3,4,Ptuber,,,,,,,
4,4,Byucc,,,,,,,
5,4,Ptuber,,,,,,,
6,4,Man,,,,,,,
7,4,Byucc,,,,,,,
8,4,Ptuber,,,,,,,
1,5,Man,0.325253003,0.006479392,286.2360237,0.161053629,2.371960538,31.94303894,6
2,5,Ptuber,6.345930981,0.06806318,217.3919289,1.542647288,2.194299007,31.42564392,3
3,5,Ptuber,7.385202361,0.073942717,206.5397589,1.647745549,2.16168537,31.37440491,3.3
4,5,Byucc,4.551391365,0.040210677,186.3751606,0.940334495,2.257032744,31.87150574,6
5,5,Ptuber,4.965551724,0.051620711,214.0178711,1.132112896,2.121438034,31.2314682,4.8
6,5,Man,6.21799468,0.063517725,210.7719808,1.370460507,2.09877045,31.69815445,6
7,5,Byucc,3.285168764,0.040223936,237.4056169,0.898548149,2.15774698,31.40120316,6
8,5,Ptuber,2.879545009,0.03087456,219.1064222,0.695761808,2.165986466,31.39648438,4.8
1,6,Man,0.402700423,0.004804484,251.129292,0.128845603,2.55553692,32.42249298,6
2,6,Ptuber,6.447575831,0.056033345,182.8849923,1.306387579,2.250531249,31.43177223,3
3,6,Ptuber,5.668425674,0.061862751,221.4013457,1.40171149,2.190988023,31.38410759,3.3
4,6,Byucc,2.95709295,0.033242764,224.8196471,0.750082746,2.173154406,31.50273705,6
5,6,Ptuber,5.286628001,0.049026494,194.7884778,1.113311316,2.194641594,31.29419708,4.8
6,6,Man,5.205126241,0.048921587,198.3376608,1.133308214,2.24184325,31.83979034,6
7,6,Byucc,4.75682031,0.04830646,208.6286601,1.116538053,2.238377908,31.50084305,6
8,6,Ptuber,4.057976084,0.03662737,190.5628997,0.826504375,2.172748905,31.27976227,4.8
1,7,Man,-0.132467983,0.016488565,406.0150588,0.174159365,1.032239127,18.38076973,6
2,7,Ptuber,-0.836798696,0.019885662,441.0240486,0.199526788,0.980329706,17.72880173,3.3
3,7,Byucc,-0.368204537,0.005049942,489.6079341,0.052275792,1.008191487,17.80788231,6
4,7,Man,0.803231533,0.014708625,286.7402685,0.150696927,1.001381025,17.76580429,6
5,7,Byucc,-0.668726537,0.003891782,646.7153521,0.040531769,1.01420336,17.74248886,6
6,7,Ptuber,-0.287816759,0.010099539,419.2533298,0.105605289,1.019992979,17.80674744,4.8
1,8,Man,-0.171719685,0.000990066,391.6492921,0.011833622,1.163064119,18.40187263,6
2,8,Ptuber,-0.127132131,0.001887452,681.1674253,0.022176264,1.143463961,18.26460648,3
3,8,Ptuber,-0.184422366,0.005442997,460.312673,0.061223042,1.095896146,17.92681694,3.3
4,8,Byucc,-0.340079199,0.012284246,416.6299856,0.136676121,1.087225575,17.93601608,6
5,8,Ptuber,0.041152104,0.003532022,584.1989379,0.038876935,1.072267969,17.70467567,4.8
6,8,Man,1.449122518,0.010587409,386.8461998,0.115944255,1.069641658,17.76199341,6
7,8,Byucc,-0.259882958,0.011444839,191.5885793,0.124278899,1.060930174,17.69875717,6
8,8,Ptuber,0.235452855,0.008897712,350.9319992,0.097210955,1.066012285,17.68559456,4.8
1,9,Man,1.077823143,0.007450944,162.3475074,0.092211292,1.206954183,18.27832985,6
2,9,Ptuber,0.178592518,0.006324141,347.7050703,0.075452115,1.162667664,17.8956337,3
3,9,Ptuber,0.338673981,0.019467405,365.0566347,0.225229974,1.131269746,17.73615837,3.3
4,9,Byucc,-0.304808907,0.003009487,553.351614,0.035000791,1.133069551,17.67316055,6
5,9,Ptuber,0.434991923,0.010446446,326.381375,0.11984858,1.1200738,17.61721802,4.8
6,9,Man,0.286392136,0.005141642,304.3084679,0.059519552,1.128680441,17.64629364,6
7,9,Byucc,-0.333816812,0.002087055,646.5915752,0.024228366,1.130662209,17.62268639,6
8,9,Ptuber,0.371158807,0.008478444,323.0371474,0.097517454,1.122180696,17.6026268,4.8
1,10,Man,0.743625589,0.005426051,174.5603728,0.068405681,1.228815593,18.06469727,6
2,10,Ptuber,0.196586585,0.009541279,359.5653086,0.116291219,1.18876672,17.77555466,3
3,10,Ptuber,0.393373535,0.025890048,368.2436065,0.306827455,1.160646249,17.67409897,3.3
4,10,Byucc,-0.407243039,0.001835583,744.201166,0.022074138,1.171038185,17.62701035,6
5,10,Ptuber,0.393490473,0.016272154,354.0841183,0.19122438,1.149105321,17.5737114,4.8
6,10,Man,1.658223016,0.014210619,206.8919556,0.165786686,1.140899572,17.52095032,6
7,10,Byucc,-0.231269062,0.00156609,626.6127313,0.018647914,1.159278868,17.52352142,6
8,10,Ptuber,0.476831943,0.009905889,315.8979867,0.117076184,1.15330215,17.54323006,4.8
1,11,Man,0.750650375,0.006492257,208.7724294,0.078639421,1.180267497,17.99995232,6
2,11,Ptuber,0.041084597,0.016064023,388.5185696,0.188825938,1.147213262,17.81599617,3
3,11,Ptuber,0.216492395,0.03652751,383.1076867,0.415139922,1.114866261,17.73641014,3.3
4,11,Byucc,-0.571776661,0.002400864,770.4419199,0.027615333,1.119353657,17.61727715,6
5,11,Ptuber,0.316128423,0.012301726,351.993478,0.138025815,1.09494425,17.52817726,4.8
6,11,Man,1.419853809,0.023627616,297.032293,0.258408053,1.07220481,17.50850487,6
7,11,Byucc,-0.53797397,0.002298117,764.2704476,0.026048071,1.102906263,17.57373047,6
8,11,Ptuber,0.120762687,0.017230401,381.7532839,0.192313308,1.090485329,17.64984322,4.8
1,12,Man,0.534235482,0.003534903,152.9584781,0.04059531,1.117538799,18.11859894,6
2,12,Ptuber,-0.099303824,0.024521943,399.5494189,0.267039389,1.064743021,17.8542366,3
3,12,Ptuber,-0.01681297,0.034338321,394.2380033,0.357135761,1.019695776,17.61859131,3.3
4,12,Byucc,-0.682013065,0.003399623,711.928329,0.035884635,1.027497927,17.55318451,6
5,12,Ptuber,0.34317834,0.013017949,351.3721549,0.134981304,1.012116205,17.49904442,4.8
6,12,Man,1.160063733,0.021974562,309.2838654,0.223414891,0.996212438,17.4959507,6
7,12,Byucc,-0.438294383,0.002195716,710.1738373,0.023015099,1.020091844,17.53034019,6
8,12,Ptuber,-0.002359197,0.014236718,393.6041067,0.146871323,1.00729062,17.55838203,4.8
