time,Obs,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area
,in,out,out,out,out,out,out,in
1,Man,0.253695042,0.001399707,97.27680466,0.044125887,3.040397384,32.01890564,6
1,Ptuber,8.823570533,0.086687041,220.5654821,2.387022772,2.710451154,31.32243729,3
1,Ptuber,8.898536194,0.09907422,239.4917033,2.624683644,2.618224051,31.07838631,3.3
1,Byucc,3.877141706,0.047296681,252.9537708,1.243357023,2.578255363,30.99393082,6
1,Ptuber,5.548681863,0.059947052,235.7341513,1.606089825,2.629851393,31.21198082,4.8
1,Man,2.401531709,0.033572755,269.0676126,0.949110054,2.758553266,31.50182724,6
1,Byucc,5.433908211,0.062749804,244.9981344,1.637351304,2.572560994,31.11669731,6
1,Ptuber,4.569024634,0.041779489,209.312603,1.178573431,2.755946749,31.40743256,4.8
2,Man,-0.196530797,0.012015211,404.9136749,0.399975352,3.229367095,32.30648041,6
2,Ptuber,3.81305596,0.036023215,214.0827756,1.09270131,2.963349626,31.57935905,4.8
2,Ptuber,10.48221394,0.11462657,235.5515173,3.200212201,2.773154461,31.18856812,3
2,Byucc,7.736705207,0.07583379,219.3051323,2.230646719,2.897171488,31.38345718,3.3
2,Ptuber,2.871802318,0.026603406,211.160168,0.779333651,2.86040704,31.09255981,6
2,Man,2.954693772,0.040031787,264.5432371,1.184691836,2.901535647,31.45027924,6
2,Byucc,5.119263702,0.05081188,221.8687914,1.43269838,2.775984967,31.08081055,6
2,Ptuber,4.106263398,0.035517575,198.7314087,1.070949132,2.947681032,31.33030891,4.8
3,Man,0.136704708,0.005441486,338.6838897,0.193271825,3.443013982,32.37845612,6
3,Ptuber,5.565888479,0.056030412,223.0946048,1.802964503,3.157270394,31.64086914,3
3,Ptuber,5.120860688,0.058486694,241.6366373,1.849897408,3.107125287,31.47205734,3.3
3,Byucc,4.203347704,0.043100514,226.3074238,1.334823947,3.043674073,31.40844727,6
3,Ptuber,3.328627156,0.044987128,263.6224788,1.41451944,3.085590757,31.42362785,4.8
3,Man,5.015970474,0.06594015,260.0464925,1.918245694,2.882016964,31.15586853,6
3,Byucc,4.846567625,0.046038437,213.8957727,1.39915874,2.991207378,31.24207497,6
3,Ptuber,5.188121818,0.050018912,216.3084037,1.551970733,3.050156023,31.31087303,4.8
4,Man,0.790536265,0.009358101,246.3972812,0.323136299,3.356637089,31.6545372,6
4,Ptuber,6.501383662,0.059145602,206.0572848,1.935902055,3.216611634,31.36505318,3
4,Ptuber,5.623337053,0.097840174,288.4102496,3.067851305,3.111035217,31.28814697,3.3
4,Byucc,2.862358094,0.032730459,242.2859845,1.041054763,3.11845209,31.07236671,6
4,Ptuber,3.754324051,0.039047145,228.0038443,1.270416643,3.189195776,31.30803299,4.8
4,Man,7.500052165,0.090130876,247.7948853,2.661119809,2.950546854,30.9816494,6
4,Byucc,3.939419642,0.036410135,209.044243,1.183792777,3.189912812,31.40900421,6
4,Ptuber,3.574424284,0.032255483,205.204886,1.066473742,3.233951474,31.4393158,4.8
5,Man,0.860843462,0.009035733,229.3820007,0.313898994,3.375387696,31.86743164,6
5,Ptuber,4.247997785,0.030588241,161.2164357,1.027395981,3.278115217,31.5546875,3
5,Ptuber,4.312152014,0.061522887,268.8712737,1.997361673,3.192854731,31.49188423,3.3
5,Byucc,2.989775161,0.0289424,217.1361224,0.916839073,3.101501727,31.11458206,6
5,Ptuber,3.978480273,0.043360017,235.1461976,1.389080645,3.143975343,31.34040833,4.8
5,Man,3.658684205,0.033380651,207.2496023,1.066586392,3.132274435,31.3300972,6
5,Byucc,4.310412656,0.039499764,207.8134643,1.251827957,3.112526191,31.37973595,6
5,Ptuber,5.148068455,0.038471855,168.9598018,1.22229359,3.113697025,31.24294662,4.8
6,Man,0.876915458,0.011035623,254.1965305,0.382126603,3.36929366,31.55687904,6
6,Ptuber,4.105357809,0.028828756,155.4193539,0.991216641,3.355962933,31.54426193,3
6,Ptuber,4.32503863,0.038708904,203.1738541,1.31619006,3.327589776,31.51266479,3.3
6,Byucc,3.747675756,0.037777663,223.2597512,1.208507918,3.143054221,31.06400299,6
6,Ptuber,2.559636453,0.025936655,224.4701406,0.858013221,3.233216033,31.16313744,4.8
6,Man,3.741672817,0.032294179,196.9279273,1.066036297,3.236592486,31.36643219,6
6,Byucc,4.538821757,0.04403408,216.9933059,1.403470892,3.138340767,31.13585854,6
6,Ptuber,4.056768017,0.028583083,156.1921176,0.957519118,3.276214779,31.36419296,4.8
7,Man,1.701309126,0.018561096,244.6234645,0.290334364,1.552380144,18.53397369,6
7,Ptuber,1.147582008,0.008940921,187.1576371,0.137826337,1.524131963,17.97673225,3
